ID,Symbol,Category
arweave,AR,"Oracles, Data & AI"
mimblewimblecoin,MWC,Privacy Coins
instadapp,FLUID,"DeFi (DEX, Lending, Perps)"
compound-governance-token,COMP,"DeFi (DEX, Lending, Perps)"
bybit-staked-sol,BBSOL,Liquid Staking & Restaking
helium,HNT,"Oracles, Data & AI"
superbridge-bridged-wsteth-base,WSTETH,Liquid Staking & Restaking
golem,GLM,"Oracles, Data & AI"
susdai,SUSDAI,Yield & Vaults
drift-staked-sol,DSOL,Liquid Staking & Restaking
walrus-2,WAL,Other
quantum-resistant-ledger,QRL,Other
swissborg,BORG,Consumer & Gaming
btse-token,BTSE,Exchange Tokens
reallink,REAL,Other
monad,MON,Layer 1s
wrapped-hype,WHYPE,Wrapped & Bridged Assets
immutable-x,IMX,Consumer & Gaming
wrapped-aave-ethereum-usdc,WAETHUSDC,Yield & Vaults
thorchain,RUNE,"DeFi (DEX, Lending, Perps)"
ecash,XEC,Payments & Money Networks
staked-cap-usd,STCUSD,Yield & Vaults
the-vault-staked-sol,VSOL,Liquid Staking & Restaking
terra-luna,LUNC,Layer 1s
bianrensheng,币安人生,Other
ape-and-pepe,APEPE,Memecoins
wefi,WFI,Other
1inch,1INCH,"DeFi (DEX, Lending, Perps)"
merlin-chain,MERL,Layer 2s & Scaling
ibc-bridged-usdc,USDC.N,Wrapped & Bridged Assets
polygon-bridged-wbtc-polygon-pos,WBTC,Wrapped & Bridged Assets
bridged-usd-coin-starkgate,USDC,Wrapped & Bridged Assets
usda-2,USDA,Stablecoins
eigenlayer,EIGEN,"DeFi (DEX, Lending, Perps)"
agora-dollar,AUSD,Stablecoins
fidelity-digital-interest-token,FDIT,RWA & Tokenization
treehouse-eth,TETH,Liquid Staking & Restaking
loaded-lions,LION,Consumer & Gaming
wrapped-avax,WAVAX,Wrapped & Bridged Assets
zencash,ZEN,Privacy Coins
blockchain-capital,BCAP,RWA & Tokenization
hastra-wrapped-ylds,WYLDS,RWA & Tokenization
build-on,B,"DeFi (DEX, Lending, Perps)"
hastra-prime,PRIME,Other
vaulta,A,"DeFi (DEX, Lending, Perps)"
apecoin,APE,Consumer & Gaming
falcon-finance-ff,FF,Other
ethena-staked-ena,SENA,Yield & Vaults
kamino,KMNO,"DeFi (DEX, Lending, Perps)"
convex-finance,CVX,"DeFi (DEX, Lending, Perps)"
elrond-erd-2,EGLD,Layer 1s
savings-dai,SDAI,Yield & Vaults
origintrail,TRAC,"Oracles, Data & AI"
tradable-na-rent-financing-platform-sstn,PC0000031,RWA & Tokenization
wormhole,W,Other
staked-frax-ether,SFRXETH,Liquid Staking & Restaking
concordium,CCD,Layer 1s
solv-protocol-solvbtc-bbn,XSOLVBTC,Liquid Staking & Restaking
