id,symbol,name,first_day,last_day,expected_days,have_any,missing_any,have_price,missing_price,have_volume,missing_volume,have_mcap,missing_mcap,updated_at
bybit-staked-sol,BBSOL,Bybit Staked SOL,2024-09-06,2025-09-25,385,385,0,385,0,385,0,385,0,2025-09-25T11:44:27.907202+00:00
filecoin,FIL,Filecoin,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
newton-project,AB,AB,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
the-graph,GRT,The Graph,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
kaspa,KAS,Kaspa,2022-05-25,2025-09-25,1220,1220,0,1220,0,1220,0,1220,0,2025-09-25T11:44:27.907202+00:00
aster-2,ASTER,Aster,2025-09-19,2025-09-25,7,7,0,7,0,7,0,7,0,2025-09-25T11:44:27.907202+00:00
eigenlayer,EIGEN,EigenCloud (prev. EigenLayer),2024-10-01,2025-09-25,360,360,0,360,0,360,0,360,0,2025-09-25T11:44:27.907202+00:00
curve-dao-token,CRV,Curve DAO,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
reserve-rights-token,RSR,Reserve Rights,2024-09-10,2025-09-25,381,381,0,381,0,381,0,381,0,2025-09-25T11:44:27.907202+00:00
wrapped-eeth,WRAPPED-EETH,wrapped-eeth,2023-12-04,2025-09-25,662,632,30,632,30,632,30,632,30,2025-09-25T11:44:27.907202+00:00
monero,XMR,Monero,2021-12-01,2025-09-25,1395,1395,0,1395,0,1395,0,1395,0,2025-09-25T11:44:27.907202+00:00
apollox-2,APX,APX,2024-09-26,2025-09-25,365,365,0,365,0,365,0,365,0,2025-09-25T11:44:27.907202+00:00
